distrito;inep;unidade_escolar;creche;pre_escola;1_ano;2_ano;3_ano;4_ano;5_ano;6_ano;7_ano;8_ano;9_ano;eja_ai;eja_af
3;23065680;E.M. AUTRAN NUNES;129;115;82;81;66;101;152;0;0;0;0;0;0
3;23546026;E.M. BERGSON GURJAO FARIAS;58;244;152;149;157;154;129;0;0;0;0;0;0
3;23069015;EMTI PROF.? ADEMAR NUNES BATISTA;0;0;0;0;0;0;0;114;76;152;77;0;0
3;23331615;EMTI PROF.? JOAQUIM FRANCISCO DE SOUSA FILHO;0;0;0;0;0;0;0;76;114;114;114;0;0
3;23264780;EMTI PROF.? JOSE JULIO DA PONTE;0;0;0;0;0;0;0;60;60;60;66;0;0
3;23274930;EMTI PROF.? PRISCO BEZERRA;0;0;0;0;0;0;0;114;114;114;114;0;0
3;23272732;E.M. DEPUTADO GERONCIO BEZERRA;96;122;42;40;0;0;0;0;0;0;0;0;0
3;23067977;E.M. DOLORES ALCANTARA;0;0;0;0;0;0;0;247;289;215;180;34;79
3;23072555;E.M. DOM JOSE TUPINAMBA DA FROTA;116;123;69;69;65;66;68;0;0;0;0;0;0
3;23067764;E.M. DONA DAGMAR GENTIL;139;0;116;93;111;125;100;0;0;0;0;0;0
3;23068167;E.M. EDILSON BRASIL SOAREZ;0;0;0;0;0;0;0;153;220;158;157;0;0
3;23069937;E.M. FAUSTINO DE ALBUQUERQUE;72;83;92;103;91;0;0;0;0;0;0;0;0
3;23068892;E.M. FREI LAURO SCHWARTE;0;0;16;25;50;59;80;106;137;107;99;33;53
3;23070471;E.M. GABRIEL CAVALCANTE;48;94;67;77;86;100;100;0;0;0;0;60;70
3;23069945;E.M. GOVERNADOR FAUSTINO DE ALBUQUERQUE;115;178;0;0;0;0;0;180;160;221;198;0;0
3;23070870;E.M. GUSTAVO BARROSO;52;80;40;48;33;54;56;103;71;74;97;0;0
3;23069538;E.M. HONORIO BEZERRA;0;0;0;0;30;126;145;0;0;0;0;0;0
3;23233834;E.M. IRMA MARIA EVANETE;135;239;121;77;93;121;119;0;0;0;0;0;0
3;23257172;E.M. JOAO FREDERICO FERREIRA GOMES;80;200;126;109;95;121;88;0;0;0;0;0;0
3;23264160;E.M. JOAO NUNES PINHEIRO;76;330;135;111;101;99;135;0;0;0;0;0;0
3;23257202;E.M. JOAO PAULO II;206;180;110;104;115;210;187;0;0;0;0;0;0
3;23185066;E.M. JOAQUIM NOGUEIRA;91;0;0;0;0;0;0;200;241;298;99;26;71
3;23234407;E.M. JOSE BATISTA DE OLIVEIRA;92;183;107;106;106;128;124;154;79;0;0;49;75
3;23072245;E.M. JOSE BONIFACIO DE SOUSA;0;0;0;0;0;0;0;186;239;233;195;0;0
3;23270675;E.M. JOSE CARLOS DA COSTA RIBEIRO;127;121;92;91;101;135;173;0;0;0;0;0;0
3;23245212;E.M. JOSE NAURI BRAGA;0;0;0;0;98;119;131;0;0;0;0;0;0
3;23263334;E.M. LENIRA JUREMA DE MAGALHAES;0;237;132;124;84;0;0;0;0;0;0;0;0
3;23271531;E.M. MANOEL CAETANO DE SOUZA;0;99;96;89;90;62;86;0;0;0;0;0;0
3;23257644;E.M. MARIA CARDOSO;0;0;84;84;96;96;97;0;0;0;0;0;0
3;23073080;E.M. MONSENHOR LINHARES;64;0;0;0;0;0;0;150;204;188;178;56;76
3;23075015;E.M. MURILO AGUIAR;100;274;107;134;123;106;120;0;0;0;0;0;73
3;23257237;E.M. MURILO SERPA;243;251;124;104;124;132;125;0;0;0;0;61;58
3;23075058;E.M. NARCISA BORGES;73;68;43;32;43;30;23;0;0;0;0;0;0
3;23075120;E.M. NILSON HOLANDA;0;0;0;0;0;0;0;149;152;171;163;0;112
3;23072180;E.M. PADRE ARIMATEIA DINIZ;0;0;67;56;33;55;58;40;119;106;113;0;0
3;23068469;E.M. PADRE JOSEFINO CABRAL;0;63;44;49;46;30;0;0;0;0;0;0;0
3;23075856;E.M. PAULO SARASATE;122;165;61;54;59;87;67;0;0;0;0;51;80
3;23072911;E.M. PRESIDENTE KENNEDY;0;0;0;0;0;0;0;157;156;156;154;62;117
